ALARA 2.9.2
Set verbose level to 2.
Opened tree file output/sample3.tree.
	Opened sample3 for input.
Starting problem input processing.
	Reading input.
	Cross-checking input for completeness and self-consistency.


***Please review this schedule hierarchy.!!!!!!!!!!

Schedule 'total':
	pulse: 1 s with 0 s delay pulsed with history pulsed_spec

***End of schedule hierarchy.


	Preprocessing input.
Starting problem solution.
	Solved problem.
	Reset binary dump with 5 results per isotope.
Zone output requested:
	Response Units: Bq /cm3
	Break-down by Constituent
	Total Decay Heat [W/cm3]


*** Total Decay Heat [W/cm3] ***
cl-36 	2.0580e-09  2.0580e-09  2.0580e-09  2.0580e-09  2.0580e-09  
cl-38 	1.4522e+00  1.4698e+00  3.2980e-12  1.4552e+00  0.0000e+00  
cl-38m	1.9601e+01  7.9677e+00  0.0000e+00  6.8454e-23  0.0000e+00  
cl-39 	1.2738e-01  1.2735e-01  2.0353e-09  1.2580e-01  0.0000e+00  
cl-40 	1.2215e+00  1.2111e+00  0.0000e+00  7.3097e-01  0.0000e+00  
cl-41 	2.1299e-02  2.0870e-02  0.0000e+00  6.2681e-03  0.0000e+00  
ar-37 	2.5440e-05  2.5440e-05  2.4942e-05  2.5440e-05  1.8984e-08  
ar-39 	2.7799e-06  2.7799e-06  2.7845e-06  2.7800e-06  2.7774e-06  
ar-41 	1.8455e+00  1.8453e+00  2.0498e-04  1.8339e+00  0.0000e+00  
ar-42 	4.8001e-09  4.8001e-09  4.7998e-09  4.8001e-09  4.7007e-09  
ar-43 	1.7483e-02  1.7445e-02  0.0000e+00  1.5364e-02  0.0000e+00  
ar-44 	4.2884e-04  4.2842e-04  1.2384e-40  4.0451e-04  0.0000e+00  
ar-45 	7.7526e-03  7.5064e-03  0.0000e+00  1.1184e-03  0.0000e+00  
k-38 	7.5070e+01  7.4956e+01  0.0000e+00  6.8534e+01  0.0000e+00  
k-38m	2.2630e+02  1.0688e+02  0.0000e+00  6.4162e-18  0.0000e+00  
k-40 	7.4581e-11  7.4581e-11  7.4581e-11  7.4581e-11  7.4581e-11  
k-42 	1.2037e+00  1.2037e+00  3.1366e-01  1.2026e+00  0.0000e+00  
k-43 	3.4029e-02  3.4029e-02  1.6099e-02  3.4015e-02  0.0000e+00  
k-44 	2.1372e+01  2.1361e+01  5.5184e-19  2.0713e+01  0.0000e+00  
k-45 	3.5069e-02  3.5048e-02  3.4377e-27  3.3770e-02  0.0000e+00  
k-46 	1.1404e-01  1.1321e-01  0.0000e+00  7.3612e-02  0.0000e+00  
k-47 	4.2863e-02  4.1199e-02  0.0000e+00  3.9809e-03  0.0000e+00  
k-48 	8.0361e+00  7.2573e+00  0.0000e+00  1.7738e-02  0.0000e+00  
ca-41 	1.9095e-09  1.9095e-09  1.9095e-09  1.9095e-09  1.9094e-09  
ca-45 	4.6374e-04  4.6374e-04  4.6184e-04  4.6374e-04  9.8371e-05  
ca-47 	4.9090e-02  4.9090e-02  4.2137e-02  4.9085e-02  3.5067e-26  
ca-49 	7.1818e+01  7.1723e+01  0.0000e+00  6.6330e+01  0.0000e+00  
sc-43 	1.6408e-08  1.6407e-08  2.2834e-10  1.6359e-08  0.0000e+00  
sc-44 	6.0779e-05  6.0776e-05  2.8510e-06  6.0608e-05  1.1773e-11  
sc-44m	2.8883e-07  2.8883e-07  2.1744e-07  2.8877e-07  0.0000e+00  
sc-45m	2.0729e-01  2.3119e-02  0.0000e+00  0.0000e+00  0.0000e+00  
sc-46 	1.3134e-04  1.3207e-04  1.5037e-04  1.4942e-04  7.4729e-06  
sc-46m	5.2714e-01  5.0795e-01  0.0000e+00  5.7023e-02  0.0000e+00  
sc-47 	3.6350e-04  3.6352e-04  1.9339e-03  3.6481e-04  6.4926e-37  
sc-48 	1.8660e-02  1.8660e-02  1.2749e-02  1.8655e-02  0.0000e+00  
sc-49 	9.4712e-02  9.7632e-02  7.1662e-08  2.6219e-01  0.0000e+00  
sc-50 	5.7172e-01  5.7796e-01  0.0000e+00  3.8890e-01  0.0000e+00  
sc-50m	2.2069e-01  3.0458e-02  0.0000e+00  0.0000e+00  0.0000e+00  
ti-44 	6.4967e-13  6.4967e-13  6.4965e-13  6.4967e-13  6.4024e-13  
ti-45 	1.6534e-03  1.6533e-03  7.4594e-06  1.6473e-03  0.0000e+00  
ti-51 	2.8568e-01  2.8512e-01  0.0000e+00  2.5350e-01  0.0000e+00  
v-49 	4.9089e-12  4.9089e-12  4.8986e-12  4.9089e-12  2.2853e-12  
v-50 	1.2664e-24  1.2664e-24  1.2664e-24  1.2664e-24  1.2664e-24  
v-52 	2.5924e-02  2.5844e-02  0.0000e+00  2.1543e-02  0.0000e+00  
v-53 	3.9795e-02  3.9512e-02  0.0000e+00  2.5942e-02  0.0000e+00  
v-54 	3.1967e-03  3.1525e-03  0.0000e+00  1.3868e-03  0.0000e+00  
cr-51 	1.9978e-05  1.9978e-05  1.9484e-05  1.9977e-05  2.2163e-09  
cr-55 	7.4518e-02  7.4275e-02  0.0000e+00  6.1267e-02  0.0000e+00  
cr-56 	3.2575e-05  3.2512e-05  0.0000e+00  2.8984e-05  0.0000e+00  
cr-57 	2.7069e-06  2.6194e-06  0.0000e+00  3.7710e-07  0.0000e+00  
mn-51 	5.3072e-07  5.3058e-07  2.1984e-16  5.2281e-07  0.0000e+00  
mn-52 	3.6743e-05  3.6743e-05  3.2636e-05  3.6746e-05  9.2951e-25  
mn-52m	4.5335e-03  4.5310e-03  1.2948e-23  4.3870e-03  0.0000e+00  
mn-53 	3.5175e-13  3.5175e-13  3.5385e-13  3.5192e-13  3.5385e-13  
mn-54 	2.8257e-04  2.8257e-04  2.8194e-04  2.8257e-04  1.2597e-04  
mn-56 	7.9484e+00  7.9478e+00  1.2558e-02  7.9128e+00  0.0000e+00  
mn-57 	6.1480e+00  6.1040e+00  0.0000e+00  3.9972e+00  0.0000e+00  
mn-58 	4.4876e-01  4.4402e-01  0.0000e+00  2.3737e-01  0.0000e+00  
mn-58m	8.3483e-01  6.6261e-01  0.0000e+00  7.9616e-07  0.0000e+00  
mn-59 	2.0081e-03  1.7272e-03  0.0000e+00  2.3785e-07  0.0000e+00  
mn-60 	3.1971e-05  2.1706e-05  0.0000e+00  2.5963e-15  0.0000e+00  
fe-53 	2.1108e-01  2.1079e-01  0.0000e+00  1.9457e-01  0.0000e+00  
fe-55 	6.3834e-06  6.3834e-06  6.3790e-06  6.3834e-06  4.9587e-06  
fe-59 	1.5095e-04  1.5095e-04  1.4862e-04  1.5095e-04  5.2070e-07  
fe-60 	1.2737e-15  1.2737e-15  1.2737e-15  1.2737e-15  1.2737e-15  
fe-61 	2.3881e-05  2.3835e-05  0.0000e+00  2.1267e-05  0.0000e+00  
co-60 	1.1198e-12  1.1198e-12  1.1194e-12  1.1198e-12  9.8224e-13  
co-60m	9.2053e-09  9.1951e-09  0.0000e+00  8.6156e-09  0.0000e+00  
co-61 	7.7981e-09  8.4118e-09  1.4501e-11  4.2476e-08  0.0000e+00  
====================================================================
total	6.3333e+05  5.6560e+05  1.2876e+01  4.3217e+04  2.4173e-04  
Constituent: b4c
	Volume Fraction: 0.25	Relative Volume: 78.5398
Total Decay Heat [W/cm3]
isotope	 shutdown         1 s         1 d         1 m         1 y   
====================================================================
