ALARA 2.9.2
Set verbose level to 2.
Opened tree file output/sample2.tree.
	Opened sample2 for input.
Starting problem input processing.
	Reading input.
	Cross-checking input for completeness and self-consistency.


***Please review this schedule hierarchy.!!!!!!!!!!

Schedule '1_year':
	pulse: 1 y with 0 s delay pulsed with history steady_state

***End of schedule hierarchy.


	Preprocessing input.
Starting problem solution.
	Solved problem.
	Reset binary dump with 5 results per isotope.
Interval output requested:
	Response Units: Bq /cm3
	Number Density [atoms/cm3]
	Specific Activity [Bq/cm3]


*** Number Density [atoms/cm3] ***
si-33 	5.2983e+02  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
p-30 	2.3619e+04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
p-31 	8.0736e+13  8.0741e+13  8.0741e+13  8.0741e+13  8.0741e+13  
p-32 	1.3691e+13  1.3041e+13  1.0600e+11  4.6751e+05  1.2391e+05  
p-33 	2.2022e+12  2.1429e+12  1.4378e+11  1.0688e+08  0.0000e+00  
p-34 	9.3317e+06  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
p-35 	1.8103e+04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
p-36 	7.1794e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
s-32 	2.6862e+16  2.6862e+16  2.6875e+16  2.6875e+16  2.6875e+16  
s-33 	2.4901e+14  2.4907e+14  2.5107e+14  2.5121e+14  2.5121e+14  
s-34 	3.0812e+15  3.0812e+15  3.0812e+15  3.0812e+15  3.0812e+15  
s-35 	7.9136e+13  7.8511e+13  3.5837e+13  4.4268e+12  0.0000e+00  
s-36 	7.3438e+13  7.3438e+13  7.3438e+13  7.3439e+13  7.3562e+13  
s-37 	1.6820e+08  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
cl-34 	1.1293e+05  2.4146e-09  0.0000e+00  0.0000e+00  0.0000e+00  
cl-34m	2.0272e+08  6.3496e-06  0.0000e+00  0.0000e+00  0.0000e+00  
cl-35 	3.5892e+17  3.5892e+17  3.5896e+17  3.5900e+17  3.5900e+17  
cl-36 	2.8574e+16  2.8574e+16  2.8574e+16  2.8574e+16  2.8568e+16  
cl-37 	1.2410e+17  1.2410e+17  1.2417e+17  1.2418e+17  1.2418e+17  
cl-38 	1.1596e+10  2.5796e-02  0.0000e+00  0.0000e+00  0.0000e+00  
cl-38m	5.5701e+05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
cl-39 	1.6550e+08  2.6444e+00  0.0000e+00  0.0000e+00  0.0000e+00  
