19	0.1	0.15	0.2	0.3	0.4	0.5	0.6	0.8	1	1.5	2	3	4	5	6	8	10	15	20
	0.02318	0.02494	0.02672	0.02872	0.02949	0.02966	0.02953	0.02882	0.02787	0.02545	0.02342	0.02054	0.01866	0.01737	0.01644	0.01521	0.01446	0.01349	0.01308
1	0.2944	0.2651	0.2429	0.2112	0.1893	0.1729	0.1599	0.1405	0.1263	0.1027	0.0877	0.06922	0.05807	0.05049	0.04498	0.03746	0.03254	0.02539	0.02153
3	0.1289	0.1158	0.106	0.0921	0.08249	0.07532	0.06968	0.06121	0.05503	0.04476	0.0383	0.03043	0.02572	0.02257	0.0203	0.01725	0.01529	0.01252	0.01109
4	0.1328	0.119	0.1089	0.09463	0.08471	0.07739	0.07155	0.06286	0.05652	0.04597	0.03938	0.03138	0.02664	0.02347	0.02121	0.01819	0.01627	0.01361	0.01227
5	0.1391	0.1244	0.1136	0.09864	0.08836	0.08066	0.07461	0.0655	0.05891	0.04792	0.04109	0.03284	0.02799	0.02477	0.02248	0.01945	0.01755	0.01495	0.01368
6	0.1514	0.1347	0.1229	0.1066	0.09546	0.08715	0.08058	0.07076	0.06361	0.05179	0.04442	0.03562	0.03047	0.02708	0.02469	0.02154	0.01959	0.01698	0.01575
7	0.1529	0.1353	0.1233	0.1068	0.09557	0.08719	0.08063	0.07081	0.06364	0.0518	0.0445	0.03579	0.03073	0.02742	0.02511	0.02209	0.02024	0.01782	0.01673
8	0.1551	0.1361	0.1237	0.107	0.09566	0.08729	0.0807	0.07087	0.06372	0.05185	0.04459	0.03597	0.031	0.02777	0.02552	0.02263	0.02089	0.01866	0.0177
11	0.1585	0.1335	0.1199	0.1029	0.09185	0.08372	0.07736	0.06788	0.061	0.04968	0.04282	0.03487	0.03037	0.02753	0.02559	0.02319	0.02181	0.02023	0.0197
12	0.1686	0.1394	0.1245	0.1065	0.09492	0.08647	0.07988	0.07008	0.06296	0.05129	0.04426	0.03613	0.03159	0.02873	0.02681	0.02445	0.02313	0.02168	0.02127
13	0.1704	0.1378	0.1223	0.1042	0.09276	0.08445	0.07802	0.06841	0.06146	0.05006	0.04324	0.03541	0.03106	0.02836	0.02655	0.02437	0.02318	0.02195	0.02168
