48	1.524	0.5593	0.3038	0.1571	0.1129	0.0925	0.08065	0.0667	0.05826	0.04673	0.04139	0.03698	0.03559	0.03536	0.03563	0.03691	0.03853	0.04253	0.04588
50	1.677	0.6092	0.326	0.1639	0.1156	0.09375	0.08114	0.06663	0.05801	0.04639	0.04113	0.03687	0.03562	0.03549	0.03584	0.03724	0.03896	0.04316	0.04662
56	2.195	0.7827	0.4045	0.1891	0.1265	0.09923	0.0841	0.06744	0.05802	0.04592	0.04078	0.03692	0.03598	0.03612	0.03669	0.03844	0.04042	0.04518	0.04902
57	2.315	0.824	0.4239	0.1961	0.1301	0.1015	0.0857	0.06843	0.05876	0.0464	0.04122	0.03737	0.03646	0.03664	0.03726	0.03907	0.04113	0.04603	0.04996
64	3.109	1.1	0.5535	0.241	0.1518	0.1139	0.09371	0.07252	0.0612	0.04759	0.04228	0.03865	0.03802	0.03844	0.03928	0.04147	0.04384	0.04943	0.05385
72	4.153	1.477	0.7338	0.3055	0.1834	0.1324	0.1058	0.07879	0.06502	0.04944	0.04387	0.0403	0.03989	0.04052	0.04155	0.04409	0.04677	0.05301	0.05796
74	4.437	1.581	0.7845	0.3238	0.1925	0.1378	0.1093	0.08066	0.06618	0.05	0.04433	0.04075	0.04038	0.04103	0.0421	0.04472	0.04747	0.05384	0.05893
82	5.549	2.015	0.9986	0.4032	0.2323	0.1613	0.1248	0.0887	0.07102	0.05222	0.04606	0.04234	0.04197	0.04272	0.04391	0.04675	0.04972	0.05658	0.06206
90	1.83	2.472	1.234	0.494	0.2789	0.1895	0.1435	0.09862	0.07709	0.05498	0.04812	0.04396	0.04347	0.04421	0.04542	0.04836	0.05149	0.05871	0.06447
92	1.954	2.591	1.298	0.5193	0.2922	0.1976	0.149	0.1016	0.07894	0.05586	0.04877	0.04446	0.04391	0.04463	0.04583	0.04879	0.05194	0.05926	0.06511
