,Parent KZA,Daughter KZA,Emitted Particles,Non-Zero Groups,Cross Sections
20,821900,821900,nc,59,"[1.213865, 1.52968, 1.623617, 1.751093, 1.921897, 1.965841, 1.99924, 2.028651, 2.053756, 2.077194, 2.108465, 2.124995, 2.136168, 2.138067, 2.123947, 2.093419, 2.043752, 1.978486, 1.896839, 1.799721, 1.692679, 1.570657, 1.438284, 1.288604, 1.182131, 1.092301, 0.9242738, 0.6961397, 0.444942, 0.2274151, 0.07150626, 0.0108002, 0.01110201, 0.01158857, 0.01213375, 0.01241774, 0.01244387, 0.01237238, 0.01224117, 0.01204338, 0.01174783, 0.0112956, 0.01082821, 0.01051659, 0.01035458, 0.01011465, 0.009643991, 0.008781123, 0.007530766, 0.006267735, 0.004953765, 0.003659749, 0.002313383, 0.001090066, 0.0006819708, 0.0005107582, 0.0003480123, 0.0001931519, 4.812457e-05]"
21,821900,821910,γ,175,"[0.008205127, 0.01246694, 0.01441958, 0.0176739, 0.025093, 0.02872349, 0.03255213, 0.0369524, 0.04211573, 0.04864118, 0.06293386, 0.07538988, 0.09361292, 0.1237349, 0.1622722, 0.2105337, 0.2714359, 0.3427625, 0.42681, 0.5251143, 0.6360613, 0.7653416, 0.9126886, 1.081759, 1.20288, 1.30506, 1.493239, 1.74249, 2.009645, 2.24118, 2.343797, 2.356925, 2.355486, 2.342007, 2.31191, 2.269138, 2.23089, 2.204918, 2.175601, 2.143367, 2.10887, 2.070826, 2.038731, 2.020561, 2.012933, 2.001637, 1.979408, 1.94073, 1.894643, 1.84786, 1.802893, 1.760125, 1.719464, 1.681729, 1.649245, 1.618647, 1.592082, 1.571601, 1.552239, 1.535717, 1.522954, 1.505299, 1.491952, 1.484279, 1.479614, 1.477789, 1.476053, 1.474402, 1.472732, 1.468747, 1.46388, 1.458565, 1.451827, 1.44158, 1.431638, 1.422176, 1.407165, 1.387881, 1.374273, 1.364545, 1.350729, 1.333775, 1.324971, 1.323789, 1.322807, 1.320345, 1.315076, 1.305132, 1.295829, 1.290027, 1.28451, 1.279261, 1.27673, 1.280051, 1.28345, 1.286683, 1.289758, 1.292683, 1.295465, 1.298111, 1.300628, 1.303024, 1.305301, 1.307468, 1.311582, 1.345352, 1.377323, 1.391932, 1.414051, 1.439181, 1.478743, 1.566539, 1.648174, 1.739778, 1.835238, 1.90541, 1.961561, 2.053676, 2.107615, 2.156746, 2.19827, 2.225062, 2.276472, 2.378691, 2.726638, 3.153412, 3.397348, 3.597477, 4.11542, 4.697053, 5.618732, 6.323688, 6.695867, 6.960675, 7.323763, 7.714627, 7.959662, 8.303695, 8.725903, 9.856338, 11.57814, 12.94181, 14.95518, 17.02771, 19.97187, 23.05956, 25.61689, 29.34401, 33.69254, 39.49444, 44.13627, 64.29068, 22.19688, 85.91483, 119.3975, 101.0492, 146.634, 98.18084, 67.70833, 37.35438, 184.8524, 50.88368, 16.32369, 146.0611, 13.16907, 19.02067, 106.845, 2518.109, 343.8971, 89.45881, 54.45421, 43.242, 39.10815, 49.09956, 93.82764]"
22,821900,811900,p,175,"[0.1132305, 0.1264849, 0.1311924, 0.1381526, 0.1481505, 0.1508186, 0.1530403, 0.1550971, 0.1562748, 0.1572907, 0.1582652, 0.1580706, 0.1572188, 0.1548969, 0.1514328, 0.1469524, 0.141687, 0.1355039, 0.1292061, 0.1234926, 0.1171946, 0.1131085, 0.1081666, 0.105023, 0.1035792, 0.1023336, 0.1007532, 0.09979674, 0.09857309, 0.09465865, 0.08591251, 0.07531174, 0.06619099, 0.0548205, 0.0430223, 0.03405164, 0.02865805, 0.02557327, 0.02284208, 0.02040474, 0.01822268, 0.01626076, 0.01476251, 0.01406792, 0.01380924, 0.01342615, 0.01267463, 0.01150466, 0.01026294, 0.009141727, 0.008181012, 0.007304946, 0.006569452, 0.005884254, 0.005330878, 0.004832605, 0.004381133, 0.004019635, 0.00368061, 0.003369003, 0.003117035, 0.002770845, 0.002479768, 0.002318654, 0.002160221, 0.002035108, 0.001918184, 0.001809513, 0.001706179, 0.00161086, 0.001522245, 0.001437941, 0.001359981, 0.001289337, 0.001222196, 0.001158364, 0.001079369, 0.0009877564, 0.0009261342, 0.0008918338, 0.0008439034, 0.0007850843, 0.000754938, 0.0007512653, 0.0007481864, 0.0007404876, 0.0007239969, 0.0006928746, 0.0006637584, 0.0006456027, 0.0006283343, 0.0006119071, 0.0005979126, 0.0005883937, 0.0005794926, 0.0005710286, 0.0005629771, 0.0005553193, 0.0005480351, 0.0005411056, 0.0005345159, 0.0005282418, 0.0005222787, 0.0005166067, 0.0005076123, 0.000506645, 0.0005101181, 0.0005117051, 0.0005141081, 0.000516838, 0.0005225719, 0.0005441771, 0.0005657084, 0.0005898684, 0.0006150462, 0.0006335537, 0.000648827, 0.0006756325, 0.0006914616, 0.0007058797, 0.000718066, 0.000725928, 0.0007410147, 0.0007711147, 0.0008761234, 0.001005247, 0.001079052, 0.001139925, 0.001298567, 0.001476876, 0.001760625, 0.001977795, 0.002092448, 0.002174025, 0.002286071, 0.002406826, 0.002482531, 0.002588819, 0.002719259, 0.003068977, 0.003601847, 0.004023893, 0.004647553, 0.005289677, 0.006201894, 0.007158579, 0.007952214, 0.009108839, 0.01045684, 0.01225484, 0.01369547, 0.01530513, 0.0173463, 0.01973557, 0.02244198, 0.02553642, 0.02903559, 0.03304029, 0.03756853, 0.04278173, 0.0485668, 0.05512553, 0.06255756, 0.0709688, 0.08055464, 0.09137252, 0.1037051, 0.1176324, 0.1235063, 0.08763882, 0.05846867, 0.0389466, 0.02597485, 0.01393058, 0.02901026]"
23,821900,811890,d,65,"[0.01277463, 0.009135047, 0.008064692, 0.006585154, 0.004327556, 0.004310517, 0.004065391, 0.003412585, 0.002829509, 0.002258204, 0.00144948, 0.001015019, 0.0006507805, 0.000333233, 0.0001596356, 7.191444e-05, 2.993156e-05, 1.198964e-05, 4.516884e-06, 1.610172e-06, 5.180845e-07, 1.408992e-07, 4.021151e-08, 1.694598e-08, 8.540684e-09, 5.330605e-09, 2.273782e-09, 8.39642e-10, 3.24785e-10, 1.11973e-10, 3.49625e-11, 9.14462e-12, 2.23025e-12, 3.44373e-13, 1.73861e-14, 6.42964e-16, 3.15812e-17, 4.24019e-18, 3.77178e-19, 4.8138e-20, 1.02197e-20, 9.47943e-21, 8.88981e-21, 8.60361e-21, 8.49076e-21, 8.32365e-21, 7.99581e-21, 7.46761e-21, 6.8613e-21, 6.28429e-21, 5.73528e-21, 5.21312e-21, 4.71668e-21, 4.2445e-21, 3.79519e-21, 3.36757e-21, 2.96111e-21, 2.57434e-21, 2.20644e-21, 1.85652e-21, 1.52346e-21, 1.05638e-21, 6.42434e-22, 3.69115e-22, 9.04695e-23]"
24,821900,811880,t,31,"[0.001159455, 0.0004574182, 0.0003269375, 0.0001804283, 4.49614e-05, 2.46272e-05, 1.378503e-05, 7.308657e-06, 3.917426e-06, 1.764548e-06, 4.318098e-07, 1.344915e-07, 3.880952e-08, 5.04857e-09, 5.27168e-10, 4.3518e-11, 2.53366e-12, 9.44233e-14, 6.34733e-15, 2.37344e-16, 2.6336e-18, 1.90364e-20, 1.63344e-20, 1.37636e-20, 1.21446e-20, 1.09366e-20, 8.99156e-21, 6.77824e-21, 4.67268e-21, 2.66983e-21, 7.70485e-22]"
25,821900,801880,3He,175,"[2.892707e-05, 6.299626e-06, 4.044907e-06, 2.042988e-06, 5.109414e-07, 3.042294e-07, 1.90621e-07, 1.175114e-07, 7.402472e-08, 4.267736e-08, 1.6579e-08, 8.070702e-09, 3.692264e-09, 1.191153e-09, 3.81558e-10, 1.23153e-10, 3.9839e-11, 1.39656e-11, 5.3575e-12, 2.32131e-12, 1.13074e-12, 6.12338e-13, 3.47841e-13, 1.95045e-13, 1.32865e-13, 1.03079e-13, 6.78248e-14, 3.75399e-14, 2.09507e-14, 1.17816e-14, 5.7361e-15, 2.74318e-15, 1.16333e-15, 3.16507e-16, 6.20967e-17, 1.07741e-17, 4.20953e-18, 1.77766e-18, 5.6082e-19, 3.62102e-19, 1.44376e-19, 3.73048e-20, 2.05691e-20, 1.54651e-20, 1.48491e-20, 1.39369e-20, 1.21473e-20, 1.01373e-20, 1.00001e-20, 1.00001e-20, 1.00002e-20, 1.00002e-20, 1.00003e-20, 1.00003e-20, 1.00004e-20, 1.00004e-20, 1.00005e-20, 1.00005e-20, 1.00006e-20, 1.00006e-20, 1.00006e-20, 1.00007e-20, 1.00007e-20, 1.00008e-20, 1.00008e-20, 1.00008e-20, 1.00008e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00016e-20, 1.0006e-20, 1.00293e-20]"
26,821900,801870,α,175,"[0.0563264, 0.04636434, 0.04342107, 0.03954518, 0.03353355, 0.03151268, 0.02972807, 0.02796655, 0.02624072, 0.0244474, 0.02152824, 0.0195988, 0.01757245, 0.0150428, 0.01294625, 0.01117155, 0.009607661, 0.008297139, 0.007262016, 0.00639385, 0.005744539, 0.005132219, 0.004712134, 0.004383671, 0.004221141, 0.004116536, 0.003960985, 0.003843334, 0.00372061, 0.003524053, 0.003156253, 0.002728728, 0.002379026, 0.001949888, 0.001523875, 0.001212314, 0.001034214, 0.0009342512, 0.0008461746, 0.0007689896, 0.0007012616, 0.0006396875, 0.0005915535, 0.0005694512, 0.0005613224, 0.0005492842, 0.0005256686, 0.0004888, 0.0004494041, 0.0004132294, 0.0003810348, 0.0003516753, 0.0003271223, 0.0003041938, 0.0002849474, 0.0002673709, 0.000251371, 0.0002383201, 0.0002260605, 0.0002148413, 0.0002059777, 0.0001938464, 0.0001834284, 0.0001768416, 0.0001705707, 0.000165659, 0.000160987, 0.0001565432, 0.00015239, 0.0001485332, 0.0001448651, 0.0001413598, 0.000137955, 0.0001346306, 0.0001313525, 0.000128233, 0.0001238537, 0.0001184888, 0.0001148496, 0.0001125964, 0.0001094337, 0.0001055804, 0.0001036601, 0.0001034009, 0.0001031836, 0.0001026403, 0.0001014765, 9.928001e-05, 9.722513e-05, 9.594379e-05, 9.472507e-05, 9.356573e-05, 9.26645e-05, 9.227606e-05, 9.19259e-05, 9.159294e-05, 9.127619e-05, 9.097495e-05, 9.068839e-05, 9.041579e-05, 9.015656e-05, 8.990974e-05, 8.967515e-05, 8.945202e-05, 8.912466e-05, 9.038665e-05, 9.181929e-05, 9.247388e-05, 9.346509e-05, 9.459114e-05, 9.64574e-05, 0.0001011765, 0.0001056582, 0.0001106871, 0.0001159278, 0.0001197802, 0.0001229007, 0.0001281627, 0.0001312547, 0.0001340711, 0.0001364515, 0.0001379873, 0.0001409342, 0.0001468057, 0.0001670838, 0.0001919931, 0.0002062308, 0.0002179591, 0.0002484742, 0.0002827676, 0.0003373171, 0.0003790642, 0.0004011043, 0.000416786, 0.0004383215, 0.0004615279, 0.0004760769, 0.0004965032, 0.0005215712, 0.0005887622, 0.0006911343, 0.0007722154, 0.0008920156, 0.001015359, 0.001190573, 0.001374324, 0.001526757, 0.001748894, 0.002007778, 0.002353074, 0.002629738, 0.002938846, 0.003330808, 0.003789619, 0.004309332, 0.004903564, 0.005575521, 0.006344564, 0.007214147, 0.008215276, 0.009326217, 0.01058569, 0.01201287, 0.01362808, 0.01546885, 0.01754621, 0.01991445, 0.02258893, 0.02371691, 0.01682926, 0.01122773, 0.007478907, 0.004987947, 0.00267509, 0.005570841]"
27,821900,781830,2α,175,"[1.487236e-05, 9.355747e-06, 8.039954e-06, 6.344072e-06, 4.067792e-06, 3.449462e-06, 2.959404e-06, 2.521572e-06, 2.153133e-06, 1.803676e-06, 1.32181e-06, 1.053967e-06, 8.146734e-07, 5.747913e-07, 4.05634e-07, 2.879693e-07, 2.029657e-07, 1.437223e-07, 1.024716e-07, 7.465357e-08, 5.418822e-08, 3.858335e-08, 2.906092e-08, 2.118109e-08, 1.78135e-08, 1.561653e-08, 1.216935e-08, 9.474307e-09, 7.284127e-09, 5.403086e-09, 3.939195e-09, 2.707639e-09, 1.862175e-09, 1.121381e-09, 5.65718e-10, 3.00576e-10, 1.87847e-10, 1.39898e-10, 1.04987e-10, 7.96582e-11, 6.12899e-11, 4.72604e-11, 3.78691e-11, 3.40097e-11, 3.28117e-11, 3.10374e-11, 2.75569e-11, 2.24951e-11, 1.80401e-11, 1.42922e-11, 1.15268e-11, 9.16541e-12, 7.61327e-12, 6.20932e-12, 5.22916e-12, 4.39861e-12, 3.67226e-12, 3.17518e-12, 2.7161e-12, 2.31135e-12, 2.05721e-12, 1.72188e-12, 1.43952e-12, 1.28237e-12, 1.13704e-12, 1.03997e-12, 9.49821e-13, 8.74175e-13, 8.03966e-13, 7.39478e-13, 6.82562e-13, 6.28531e-13, 5.80137e-13, 5.41767e-13, 5.05664e-13, 4.71347e-13, 4.3119e-13, 3.85931e-13, 3.55138e-13, 3.37665e-13, 3.13363e-13, 2.83539e-13, 2.68121e-13, 2.66411e-13, 2.65085e-13, 2.61768e-13, 2.54663e-13, 2.41254e-13, 2.2871e-13, 2.20888e-13, 2.13448e-13, 2.06371e-13, 2.00601e-13, 1.97351e-13, 1.94351e-13, 1.91498e-13, 1.88785e-13, 1.86204e-13, 1.83749e-13, 1.81413e-13, 1.79193e-13, 1.77078e-13, 1.75068e-13, 1.73157e-13, 1.7012e-13, 1.69553e-13, 1.70483e-13, 1.70908e-13, 1.71551e-13, 1.72282e-13, 1.73945e-13, 1.80808e-13, 1.87704e-13, 1.95442e-13, 2.03505e-13, 2.09433e-13, 2.14341e-13, 2.23014e-13, 2.2814e-13, 2.32809e-13, 2.36755e-13, 2.39301e-13, 2.44187e-13, 2.53938e-13, 2.88078e-13, 3.30071e-13, 3.54074e-13, 3.73891e-13, 4.25603e-13, 4.83737e-13, 5.76337e-13, 6.47221e-13, 6.84643e-13, 7.11269e-13, 7.47851e-13, 7.87283e-13, 8.12004e-13, 8.46712e-13, 8.89307e-13, 1.00352e-12, 1.17755e-12, 1.31538e-12, 1.51909e-12, 1.72884e-12, 2.02684e-12, 2.33936e-12, 2.59833e-12, 2.97571e-12, 3.41636e-12, 4.004e-12, 4.47427e-12, 5.00136e-12, 5.66835e-12, 6.44773e-12, 7.33189e-12, 8.34315e-12, 9.48719e-12, 1.07954e-11, 1.22737e-11, 1.39764e-11, 1.5868e-11, 1.80131e-11, 2.04378e-11, 2.31865e-11, 2.63197e-11, 2.98572e-11, 3.38906e-11, 3.84297e-11, 4.03526e-11, 2.86354e-11, 1.91046e-11, 1.27255e-11, 8.48713e-12, 4.55174e-12, 9.47896e-12]"
28,821900,761790,3α,175,"[9.0687e-12, 2.4329e-12, 1.678e-12, 9.73532e-13, 3.2805e-13, 2.26008e-13, 1.6193e-13, 1.12182e-13, 7.85293e-14, 5.20732e-14, 2.64045e-14, 1.60113e-14, 9.15988e-15, 4.21194e-15, 1.94896e-15, 6.28056e-16, 1.26763e-17, 6.25243e-18, 3.13167e-18, 1.62766e-18, 8.43664e-19, 4.3754e-19, 2.3711e-19, 1.24852e-19, 8.42569e-20, 6.33339e-20, 3.92642e-20, 2.43365e-20, 1.46317e-20, 1.02308e-20, 1.00001e-20, 1.00001e-20, 1.00002e-20, 1.00003e-20, 1.00004e-20, 1.00005e-20, 1.00005e-20, 1.00006e-20, 1.00006e-20, 1.00006e-20, 1.00007e-20, 1.00007e-20, 1.00007e-20, 1.00007e-20, 1.00007e-20, 1.00007e-20, 1.00008e-20, 1.00008e-20, 1.00008e-20, 1.00008e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00016e-20, 1.0006e-20, 1.00293e-20]"
29,821900,801890,2p,175,"[0.002191214, 0.001906099, 0.001800267, 0.001636782, 0.001330494, 0.001211708, 0.001107348, 0.001006472, 0.0008997704, 0.0007910346, 0.0006257592, 0.000517797, 0.0004094292, 0.0002919373, 0.0002011821, 0.0001349172, 8.678758e-05, 5.467932e-05, 3.305525e-05, 1.941939e-05, 1.101985e-05, 6.219072e-06, 3.272638e-06, 1.689005e-06, 1.117155e-06, 8.175398e-07, 4.629844e-07, 2.171589e-07, 1.075706e-07, 5.08742e-08, 2.123656e-08, 8.631734e-09, 3.484767e-09, 9.59371e-10, 1.49613e-10, 2.30141e-11, 5.34143e-12, 2.11326e-12, 8.06334e-13, 3.21439e-13, 1.34221e-13, 5.1195e-14, 2.3228e-14, 1.4401e-14, 1.31166e-14, 1.12145e-14, 7.48316e-15, 2.9223e-15, 1.29083e-15, 3.35489e-16, 1.68769e-16, 5.80325e-17, 3.10462e-17, 1.11978e-17, 4.97661e-18, 2.69438e-18, 9.43749e-19, 5.6608e-19, 2.98021e-19, 8.39405e-20, 4.82901e-20, 2.53022e-20, 1.00231e-20, 1.00001e-20, 1.00001e-20, 1.00002e-20, 1.00003e-20, 1.00003e-20, 1.00004e-20, 1.00004e-20, 1.00004e-20, 1.00005e-20, 1.00005e-20, 1.00006e-20, 1.00006e-20, 1.00006e-20, 1.00007e-20, 1.00007e-20, 1.00008e-20, 1.00008e-20, 1.00008e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00016e-20, 1.0006e-20, 1.00293e-20]"
30,821900,791860,pα,175,"[0.0002394565, 0.0001352319, 0.0001121881, 8.32648e-05, 4.728405e-05, 3.819159e-05, 3.131542e-05, 2.545268e-05, 2.061458e-05, 1.6231e-05, 1.072655e-05, 7.842688e-06, 5.470307e-06, 3.345492e-06, 2.017673e-06, 1.21188e-06, 7.201318e-07, 4.305696e-07, 2.551137e-07, 1.516343e-07, 9.010514e-08, 5.434052e-08, 3.250053e-08, 1.95335e-08, 1.458932e-08, 1.158192e-08, 7.604504e-09, 4.774211e-09, 3.050925e-09, 1.815801e-09, 1.076014e-09, 6.13689e-10, 3.3339e-10, 1.50917e-10, 4.941e-11, 1.7272e-11, 7.99959e-12, 4.76253e-12, 2.83123e-12, 1.78015e-12, 1.1587e-12, 7.4756e-13, 5.05751e-13, 4.15013e-13, 3.9156e-13, 3.56827e-13, 2.88691e-13, 1.96715e-13, 1.35347e-13, 8.90246e-14, 6.33282e-14, 4.2511e-14, 3.14895e-14, 2.18384e-14, 1.61824e-14, 1.18134e-14, 8.20228e-15, 6.43249e-15, 4.86706e-15, 3.52635e-15, 2.85984e-15, 2.02307e-15, 1.24997e-15, 6.77256e-16, 2.59815e-16, 2.11008e-16, 1.7221e-16, 1.45867e-16, 1.22638e-16, 1.03122e-16, 8.95377e-17, 7.67442e-17, 6.56564e-17, 5.78708e-17, 5.06062e-17, 4.37034e-17, 3.62505e-17, 2.8226e-17, 2.30057e-17, 2.10271e-17, 1.84144e-17, 1.52082e-17, 1.35553e-17, 1.33971e-17, 1.32826e-17, 1.29961e-17, 1.23826e-17, 1.12247e-17, 1.01414e-17, 9.46589e-18, 8.82341e-18, 8.21222e-18, 7.7081e-18, 7.40819e-18, 7.13024e-18, 6.86595e-18, 6.61454e-18, 6.37541e-18, 6.14796e-18, 5.93158e-18, 5.72581e-18, 5.5299e-18, 5.3437e-18, 5.16658e-18, 4.88157e-18, 4.6471e-18, 4.55193e-18, 4.50845e-18, 4.4426e-18, 4.3678e-18, 4.28699e-18, 4.33626e-18, 4.4192e-18, 4.51227e-18, 4.60926e-18, 4.68056e-18, 4.74752e-18, 4.89482e-18, 4.98392e-18, 5.06508e-18, 5.13368e-18, 5.17794e-18, 5.26286e-18, 5.43396e-18, 6.07252e-18, 6.86293e-18, 7.31472e-18, 7.69229e-18, 8.69315e-18, 9.82046e-18, 1.16323e-17, 1.3021e-17, 1.37542e-17, 1.42759e-17, 1.49948e-17, 1.57713e-17, 1.62582e-17, 1.69417e-17, 1.77805e-17, 2.00348e-17, 2.34722e-17, 2.61948e-17, 3.02243e-17, 3.4375e-17, 4.02762e-17, 4.64667e-17, 5.15966e-17, 5.90752e-17, 6.78095e-17, 7.94593e-17, 8.87824e-17, 9.92353e-17, 1.12465e-16, 1.27924e-16, 1.45461e-16, 1.65518e-16, 1.88207e-16, 2.14153e-16, 2.43469e-16, 2.77237e-16, 3.28031e-16, 4.26559e-16, 5.56047e-16, 7.24687e-16, 9.45044e-16, 1.23077e-15, 1.60592e-15, 2.09113e-15, 2.46166e-15, 1.77069e-15, 1.18135e-15, 7.869e-16, 5.2481e-16, 2.8146e-16, 5.86136e-16]"
31,821900,801880,pd,42,"[6.241199e-07, 1.228922e-07, 7.474693e-08, 3.414714e-08, 6.174209e-09, 3.111589e-09, 1.67378e-09, 8.74011e-10, 4.66749e-10, 2.11645e-10, 5.34976e-11, 1.79854e-11, 5.58709e-12, 8.63152e-13, 1.1951e-13, 1.40847e-14, 1.3097e-15, 1.03412e-16, 6.64881e-18, 4.94967e-19, 2.6293e-19, 2.43996e-19, 2.25983e-19, 2.08845e-19, 1.98052e-19, 1.89999e-19, 1.77032e-19, 1.62277e-19, 1.48241e-19, 1.34889e-19, 1.22187e-19, 1.10103e-19, 9.86062e-20, 8.22703e-20, 6.25172e-20, 4.46354e-20, 3.23753e-20, 2.46648e-20, 1.73289e-20, 1.03528e-20, 3.71723e-21, 2.12151e-23]"
32,821900,801870,pt,26,"[2.602315e-09, 3.94062e-11, 9.01996e-12, 2.19207e-12, 3.19753e-14, 2.75748e-15, 4.58598e-16, 1.00559e-16, 1.86912e-17, 1.5006e-18, 5.1605e-20, 4.8308e-20, 4.45666e-20, 3.97841e-20, 3.52361e-20, 3.09062e-20, 2.66904e-20, 2.27842e-20, 1.9068e-20, 1.55323e-20, 1.21686e-20, 8.96884e-21, 5.92473e-21, 3.02857e-21, 1.20457e-21, 1.52005e-22]"
