,Parent KZA,Daughter KZA,Emitted Particles,Non-Zero Groups,Cross Sections
10,821900,811880,nd,14,"[2.381563e-07, 5.072502e-09, 1.184833e-09, 2.68575e-10, 1.8234e-12, 2.00154e-14, 1.24163e-15, 1.60068e-16, 6.01053e-18, 5.16383e-18, 3.70124e-18, 2.70833e-18, 1.58156e-18, 2.52865e-19]"
11,821900,811870,nt,10,"[1.85335e-10, 1.26234e-13, 2.15827e-15, 4.51234e-16, 3.77411e-19, 3.1124e-19, 2.50981e-19, 1.90158e-19, 1.31023e-19, 6.7781e-20]"
12,821900,801870,n3He,23,"[5.11048e-11, 1.06998e-12, 3.09613e-13, 8.32283e-14, 2.28367e-15, 3.31563e-16, 5.91748e-17, 1.61653e-17, 4.03796e-18, 2.13202e-19, 1.42556e-20, 1.32177e-20, 1.20398e-20, 1.05343e-20, 9.10249e-21, 7.73941e-21, 6.41222e-21, 5.18253e-21, 4.01263e-21, 2.89956e-21, 1.84065e-21, 8.33323e-22, 6.38291e-23]"
13,821900,811880,2np,9,"[5.164205e-05, 2.967952e-07, 1.196254e-08, 2.511692e-09, 1.0974e-12, 5.70203e-16, 4.10303e-16, 2.48902e-16, 9.21059e-17]"
14,821900,801880,n2p,32,"[0.000107577, 2.945044e-05, 1.912355e-05, 9.191887e-06, 1.663432e-06, 7.980873e-07, 4.000891e-07, 1.890821e-07, 8.927352e-08, 3.253765e-08, 6.036943e-09, 1.423929e-09, 3.14848e-10, 2.38911e-11, 1.44316e-12, 7.16493e-14, 2.16098e-15, 5.01128e-17, 1.01597e-18, 5.38519e-19, 4.76874e-19, 4.18231e-19, 3.62442e-19, 3.09365e-19, 2.75937e-19, 2.50996e-19, 2.10836e-19, 1.65138e-19, 1.21664e-19, 8.03113e-20, 4.09734e-20, 6.48882e-21]"
15,821900,791850,npα,175,"[6.698999e-06, 1.412744e-06, 8.803115e-07, 4.146625e-07, 8.087933e-08, 4.229464e-08, 2.339724e-08, 1.253276e-08, 6.826187e-09, 3.197253e-09, 9.08545e-10, 3.32151e-10, 1.12322e-10, 2.1924e-11, 4.10898e-12, 7.48122e-13, 1.28642e-13, 2.10488e-14, 2.90431e-15, 1.66866e-16, 1.1019e-17, 6.06701e-19, 2.89209e-20, 1.00083e-20, 1.00001e-20, 1.00001e-20, 1.00001e-20, 1.00002e-20, 1.00003e-20, 1.00003e-20, 1.00003e-20, 1.00004e-20, 1.00004e-20, 1.00005e-20, 1.00006e-20, 1.00006e-20, 1.00007e-20, 1.00007e-20, 1.00008e-20, 1.00008e-20, 1.00008e-20, 1.00008e-20, 1.00008e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00016e-20, 1.0006e-20, 1.00293e-20]"
16,821900,821901,n,71,"[9.06299e-13, 3.14068e-12, 5.77912e-12, 1.19477e-11, 3.9344e-11, 6.28038e-11, 9.65617e-11, 1.46991e-10, 2.282e-10, 3.64023e-10, 8.21569e-10, 1.43066e-09, 2.791735e-09, 6.446857e-09, 1.451695e-08, 3.19747e-08, 7.018791e-08, 1.484307e-07, 3.082069e-07, 6.273832e-07, 1.198139e-06, 2.331575e-06, 4.50725e-06, 8.523172e-06, 1.261503e-05, 1.726185e-05, 2.877979e-05, 5.107731e-05, 8.869267e-05, 0.0001458211, 0.0002213196, 0.0003205416, 0.0004555046, 0.0007606055, 0.001384112, 0.002349364, 0.003315214, 0.004107956, 0.004998568, 0.005988265, 0.00709549, 0.008319288, 0.009394329, 0.00998072, 0.01024172, 0.01062825, 0.01138644, 0.01271592, 0.01450982, 0.01639172, 0.01849218, 0.02061597, 0.02296566, 0.02523902, 0.02762348, 0.02995625, 0.03214098, 0.0341199, 0.0359951, 0.03758917, 0.03832709, 0.03923668, 0.03952151, 0.03867983, 0.03729981, 0.03515351, 0.03276019, 0.02839334, 0.02387611, 0.0147488, 0.0009048281]"
17,821900,821902,n,68,"[0.006213234, 0.006803568, 0.006999931, 0.007289088, 0.007799496, 0.007991431, 0.008171355, 0.008362099, 0.008560294, 0.008785433, 0.009206329, 0.009517241, 0.009894864, 0.01040415, 0.0109114, 0.01141528, 0.01194177, 0.01249507, 0.01312436, 0.01386071, 0.01471202, 0.01569634, 0.01679383, 0.01796262, 0.01874676, 0.01935359, 0.02035577, 0.02152627, 0.02267897, 0.02382459, 0.02495706, 0.02608881, 0.02724982, 0.02910555, 0.0317153, 0.0344968, 0.03664077, 0.03811859, 0.03963151, 0.04119867, 0.04286976, 0.04468023, 0.04625554, 0.04711028, 0.04748886, 0.04804953, 0.04914929, 0.05105785, 0.05358779, 0.05616259, 0.05889931, 0.06153465, 0.06411007, 0.06651997, 0.06829938, 0.06984523, 0.07083333, 0.07029293, 0.06967415, 0.06838337, 0.06426569, 0.05802728, 0.05124654, 0.04429622, 0.03568807, 0.02549791, 0.01354706, 7.168848e-05]"
18,821900,821903,n,60,"[0.001466807, 0.001602172, 0.001646855, 0.001712663, 0.001829641, 0.001873998, 0.00191569, 0.001959937, 0.002005842, 0.002057817, 0.0021542, 0.00222463, 0.002309126, 0.002421736, 0.002533149, 0.002644912, 0.002765069, 0.002895755, 0.003047591, 0.003225628, 0.003429173, 0.003658976, 0.003908742, 0.004169909, 0.004344464, 0.004481062, 0.004713952, 0.005006438, 0.005332723, 0.005702901, 0.006105944, 0.006550127, 0.007063265, 0.008020605, 0.009613347, 0.01162457, 0.01338917, 0.01473342, 0.01619242, 0.01777178, 0.01949515, 0.02133067, 0.02290327, 0.02370876, 0.02404576, 0.02454484, 0.02552383, 0.02709691, 0.02889182, 0.03043184, 0.03157046, 0.0323111, 0.03208019, 0.03165853, 0.02954286, 0.02703696, 0.02389144, 0.01854809, 0.01329941, 0.006220509]"
19,821900,821904,n,59,"[0.009451483, 0.01018748, 0.0104359, 0.01080499, 0.01147162, 0.01172712, 0.0119679, 0.01222373, 0.0124891, 0.01278934, 0.01334562, 0.01375241, 0.01424217, 0.01490117, 0.01556654, 0.01625355, 0.01701427, 0.01785684, 0.0188383, 0.01997842, 0.02126212, 0.02267616, 0.02416509, 0.0256573, 0.02661171, 0.02732099, 0.02844717, 0.02969672, 0.03084607, 0.03189457, 0.03281626, 0.03359845, 0.03424639, 0.03488847, 0.03495889, 0.03390229, 0.03245318, 0.03122027, 0.02989107, 0.02851209, 0.02712309, 0.02574692, 0.02462052, 0.02404799, 0.02381038, 0.02345851, 0.02276829, 0.02158574, 0.02005336, 0.018429, 0.01657963, 0.01465726, 0.01239386, 0.01019121, 0.007815425, 0.005474074, 0.003394741, 0.001865533, 0.0004648051]"
