,Isotope,Parent KZA,Number of Reactions (FENDL2),Number of Reactions (FENDL3)
741,Ru-107,441070,1.0,29.0
742,Ru-108,441080,1.0,27.0
743,Ru-109,441090,1.0,28.0
744,Ru-109m,441091,1.0,0.0
745,Ru-110,441100,1.0,25.0
746,Ru-111,441110,1.0,27.0
747,Ru-112,441120,0.0,26.0
748,Rh-091,450910,0.0,35.0
749,Rh-091m,450911,0.0,28.0
750,Rh-092,450920,0.0,30.0
751,Rh-093,450930,0.0,33.0
752,Rh-094,450940,0.0,34.0
753,Rh-094m,450941,0.0,35.0
754,Rh-095,450950,0.0,34.0
755,Rh-095m,450951,0.0,34.0
756,Rh-096,450960,1.0,34.0
757,Rh-096m,450961,2.0,34.0
758,Rh-097,450970,1.0,34.0
759,Rh-097m,450971,2.0,34.0
760,Rh-098,450980,1.0,34.0
761,Rh-098m,450981,1.0,34.0
762,Rh-099,450990,22.0,35.0
763,Rh-099m,450991,22.0,35.0
764,Rh-100,451000,23.0,36.0
765,Rh-100m,451001,2.0,36.0
766,Rh-101,451010,22.0,35.0
767,Rh-101m,451011,22.0,35.0
768,Rh-102,451020,21.0,36.0
769,Rh-102m,451021,22.0,37.0
770,Rh-103,451030,22.0,36.0
771,Rh-103m,451031,1.0,36.0
772,Rh-104,451040,2.0,36.0
773,Rh-104m,451041,2.0,36.0
774,Rh-105,451050,22.0,36.0
775,Rh-105m,451051,1.0,36.0
776,Rh-106,451060,1.0,30.0
777,Rh-106m,451061,1.0,34.0
778,Rh-107,451070,1.0,33.0
779,Rh-108,451080,1.0,33.0
780,Rh-108m,451081,1.0,33.0
781,Rh-109,451090,1.0,28.0
782,Rh-110,451100,1.0,29.0
783,Rh-110m,451101,1.0,29.0
784,Rh-111,451110,1.0,27.0
785,Rh-112,451120,1.0,28.0
786,Rh-112m,451121,0.0,28.0
787,Rh-113,451130,0.0,26.0
788,Rh-114,451140,0.0,27.0
789,Rh-114m,451141,0.0,27.0
790,Pd-092,460920,0.0,25.0
791,Pd-093,460930,0.0,34.0
792,Pd-094,460940,0.0,33.0
793,Pd-095,460950,0.0,34.0
794,Pd-095m,460951,0.0,34.0
795,Pd-096,460960,0.0,32.0
796,Pd-097,460970,0.0,33.0
797,Pd-098,460980,1.0,34.0
798,Pd-099,460990,1.0,34.0
799,Pd-100,461000,17.0,34.0
800,Pd-101,461010,20.0,37.0
801,Pd-102,461020,20.0,35.0
802,Pd-103,461030,20.0,36.0
803,Pd-104,461040,20.0,35.0
804,Pd-105,461050,20.0,36.0
805,Pd-106,461060,21.0,36.0
806,Pd-107,461070,21.0,36.0
807,Pd-107m,461071,1.0,36.0
808,Pd-108,461080,21.0,36.0
809,Pd-109,461090,22.0,34.0
810,Pd-109m,461091,1.0,34.0
811,Pd-110,461100,21.0,32.0
812,Pd-111,461110,2.0,31.0
813,Pd-111m,461111,3.0,31.0
814,Pd-112,461120,21.0,27.0
815,Pd-113,461130,2.0,28.0
816,Pd-113m,461131,1.0,0.0
817,Pd-114,461140,1.0,27.0
818,Pd-115,461150,2.0,28.0
819,Pd-115m,461151,0.0,28.0
820,Pd-116,461160,0.0,25.0
821,Pd-117,461170,0.0,27.0
822,Pd-118,461180,0.0,26.0
823,Ag-095,470950,0.0,28.0
824,Ag-096,470960,0.0,33.0
825,Ag-096m,470961,0.0,33.0
826,Ag-097,470970,0.0,26.0
827,Ag-098,470980,0.0,32.0
828,Ag-099,470990,0.0,31.0
829,Ag-099m,470991,0.0,30.0
830,Ag-100,471000,1.0,35.0
831,Ag-100m,471001,1.0,35.0
832,Ag-101,471010,1.0,36.0
833,Ag-101m,471011,1.0,36.0
834,Ag-102,471020,1.0,36.0
835,Ag-102m,471021,2.0,36.0
836,Ag-103,471030,1.0,36.0
837,Ag-103m,471031,1.0,36.0
838,Ag-104,471040,1.0,36.0
839,Ag-104m,471041,2.0,36.0
840,Ag-105,471050,24.0,35.0
841,Ag-105m,471051,2.0,35.0
842,Ag-106,471060,1.0,36.0
843,Ag-106m,471061,24.0,35.0
844,Ag-107,471070,25.0,35.0
845,Ag-107m,471071,1.0,35.0
846,Ag-108,471080,2.0,36.0
847,Ag-108m,471081,24.0,36.0
848,Ag-109,471090,25.0,36.0
849,Ag-109m,471091,1.0,36.0
850,Ag-110,471100,2.0,36.0
851,Ag-110m,471101,25.0,36.0
852,Ag-111,471110,24.0,36.0
853,Ag-111m,471111,2.0,36.0
854,Ag-112,471120,1.0,35.0
855,Ag-113,471130,2.0,32.0
856,Ag-113m,471131,2.0,32.0
857,Ag-114,471140,1.0,30.0
858,Ag-114m,471141,1.0,0.0
859,Ag-115,471150,2.0,28.0
860,Ag-115m,471151,1.0,28.0
861,Ag-116,471160,1.0,28.0
862,Ag-116m,471161,2.0,28.0
863,Ag-116n,471162,0.0,28.0
864,Ag-117,471170,0.0,26.0
865,Ag-117m,471171,0.0,26.0
866,Ag-118,471180,0.0,28.0
867,Ag-118m,471181,0.0,28.0
868,Ag-119,471190,0.0,26.0
869,Ag-119m,471191,0.0,26.0
870,Ag-120,471200,0.0,27.0
871,Cd-097,480970,0.0,25.0
872,Cd-098,480980,0.0,33.0
873,Cd-099,480990,0.0,27.0
874,Cd-100,481000,0.0,29.0
875,Cd-101,481010,0.0,35.0
876,Cd-102,481020,1.0,36.0
877,Cd-103,481030,1.0,36.0
878,Cd-104,481040,1.0,35.0
879,Cd-105,481050,1.0,36.0
880,Cd-106,481060,20.0,35.0
881,Cd-107,481070,2.0,36.0
882,Cd-108,481080,21.0,35.0
883,Cd-109,481090,21.0,35.0
884,Cd-110,481100,23.0,35.0
885,Cd-111,481110,23.0,36.0
886,Cd-111m,481111,1.0,36.0
887,Cd-112,481120,23.0,36.0
888,Cd-113,481130,24.0,35.0
889,Cd-113m,481131,24.0,35.0
890,Cd-114,481140,23.0,35.0
891,Cd-115,481150,25.0,34.0
892,Cd-115m,481151,25.0,34.0
893,Cd-116,481160,23.0,28.0
894,Cd-117,481170,2.0,29.0
895,Cd-117m,481171,2.0,29.0
896,Cd-118,481180,1.0,26.0
897,Cd-119,481190,2.0,28.0
898,Cd-119m,481191,2.0,29.0
899,Cd-120,481200,1.0,25.0
900,Cd-121,481210,2.0,28.0
901,Cd-121m,481211,1.0,28.0
902,Cd-122,481220,1.0,25.0
903,Cd-123,481230,2.0,26.0
904,Cd-123m,481231,0.0,27.0
905,Cd-124,481240,1.0,24.0
906,Cd-125,481250,2.0,0.0
907,In-098m,490981,0.0,33.0
908,In-099,490990,0.0,24.0
909,In-100,491000,0.0,33.0
910,In-101,491010,0.0,27.0
911,In-102,491020,0.0,35.0
912,In-103,491030,0.0,36.0
913,In-103m,491031,0.0,36.0
914,In-104,491040,0.0,37.0
915,In-104m,491041,0.0,36.0
916,In-105,491050,0.0,36.0
917,In-105m,491051,0.0,37.0
918,In-106,491060,1.0,36.0
919,In-106m,491061,1.0,36.0
920,In-107,491070,1.0,35.0
921,In-107m,491071,1.0,36.0
922,In-108,491080,1.0,35.0
923,In-108m,491081,1.0,35.0
924,In-109,491090,1.0,35.0
925,In-109m,491091,1.0,35.0
926,In-109n,491092,1.0,0.0
927,In-110,491100,1.0,36.0
928,In-110m,491101,1.0,36.0
929,In-111,491110,25.0,35.0
930,In-111m,491111,1.0,36.0
931,In-112,491120,2.0,35.0
932,In-112m,491121,1.0,36.0
933,In-113,491130,25.0,35.0
934,In-113m,491131,1.0,36.0
935,In-114,491140,2.0,35.0
936,In-114m,491141,25.0,36.0
937,In-115,491150,27.0,36.0
938,In-115m,491151,2.0,36.0
939,In-116,491160,1.0,36.0
940,In-116m,491161,1.0,36.0
941,In-116n,491162,1.0,36.0
942,In-117,491170,2.0,33.0
943,In-117m,491171,2.0,34.0
944,In-118,491180,1.0,34.0
945,In-118m,491181,1.0,34.0
946,In-118n,491182,2.0,34.0
947,In-119,491190,2.0,28.0
948,In-119m,491191,2.0,28.0
949,In-120,491200,1.0,29.0
950,In-120m,491201,1.0,29.0
951,In-120n,491202,1.0,29.0
952,In-121,491210,2.0,27.0
953,In-121m,491211,2.0,27.0
954,In-122,491220,1.0,26.0
955,In-122m,491221,1.0,26.0
956,In-122n,491222,1.0,27.0
957,In-123,491230,2.0,25.0
958,In-123m,491231,1.0,25.0
959,In-124,491240,1.0,26.0
960,In-124m,491241,1.0,26.0
961,In-125,491250,2.0,25.0
962,In-125m,491251,1.0,25.0
963,In-126,491260,1.0,26.0
964,In-126m,491261,1.0,26.0
965,In-127,491270,0.0,25.0
966,In-127m,491271,0.0,25.0
967,In-127n,491272,0.0,27.0
968,In-129m,491291,0.0,25.0
969,Sn-101,501010,0.0,33.0
970,Sn-102,501020,0.0,34.0
971,Sn-103,501030,0.0,32.0
972,Sn-104,501040,0.0,29.0
973,Sn-105,501050,0.0,31.0
974,Sn-106,501060,0.0,35.0
975,Sn-107,501070,0.0,36.0
976,Sn-108,501080,1.0,35.0
977,Sn-109,501090,1.0,36.0
978,Sn-110,501100,1.0,34.0
979,Sn-111,501110,1.0,36.0
980,Sn-112,501120,20.0,35.0
981,Sn-113,501130,20.0,35.0
982,Sn-113m,501131,2.0,35.0
983,Sn-114,501140,22.0,35.0
984,Sn-115,501150,23.0,35.0
985,Sn-116,501160,23.0,35.0
986,Sn-117,501170,24.0,35.0
987,Sn-117m,501171,24.0,35.0
988,Sn-118,501180,24.0,34.0
989,Sn-119,501190,23.0,33.0
990,Sn-119m,501191,26.0,32.0
991,Sn-120,501200,25.0,31.0
992,Sn-121,501210,27.0,31.0
993,Sn-121m,501211,27.0,31.0
994,Sn-122,501220,24.0,26.0
995,Sn-123,501230,24.0,27.0
996,Sn-123m,501231,1.0,27.0
997,Sn-124,501240,22.0,25.0
998,Sn-125,501250,22.0,26.0
999,Sn-125m,501251,1.0,26.0
1000,Sn-126,501260,22.0,24.0
1001,Sn-127,501270,1.0,26.0
1002,Sn-127m,501271,1.0,26.0
1003,Sn-128,501280,1.0,24.0
1004,Sn-128m,501281,1.0,26.0
1005,Sn-129,501290,1.0,26.0
1006,Sn-129m,501291,2.0,26.0
1007,Sn-130,501300,1.0,23.0
1008,Sn-130m,501301,1.0,26.0
1009,Sn-131,501310,1.0,24.0
1010,Sn-131m,501311,1.0,24.0
1011,Sn-132,501320,0.0,22.0
1012,Sn-133,501330,0.0,25.0
1013,Sn-134,501340,0.0,26.0
1014,Sb-105,511050,0.0,29.0
1015,Sb-107,511070,0.0,33.0
1016,Sb-108,511080,0.0,30.0
1017,Sb-109,511090,0.0,37.0
1018,Sb-110,511100,0.0,37.0
1019,Sb-111,511110,0.0,36.0
1020,Sb-112,511120,1.0,36.0
1021,Sb-113,511130,1.0,35.0
1022,Sb-114,511140,1.0,37.0
1023,Sb-115,511150,1.0,36.0
1024,Sb-116,511160,1.0,36.0
1025,Sb-116m,511161,1.0,37.0
1026,Sb-117,511170,1.0,37.0
1027,Sb-118,511180,1.0,37.0
1028,Sb-118m,511181,1.0,37.0
1029,Sb-119,511190,26.0,37.0
1030,Sb-120,511200,1.0,37.0
1031,Sb-120m,511201,26.0,37.0
1032,Sb-121,511210,26.0,37.0
1033,Sb-122,511220,27.0,36.0
1034,Sb-122m,511221,1.0,36.0
1035,Sb-123,511230,27.0,35.0
1036,Sb-124,511240,28.0,33.0
1037,Sb-124m,511241,2.0,33.0
1038,Sb-124n,511242,1.0,32.0
1039,Sb-125,511250,29.0,29.0
1040,Sb-126,511260,28.0,28.0
1041,Sb-126m,511261,2.0,29.0
1042,Sb-126n,511262,1.0,29.0
1043,Sb-127,511270,27.0,27.0
1044,Sb-128,511280,1.0,27.0
1045,Sb-128m,511281,2.0,27.0
1046,Sb-129,511290,2.0,26.0
1047,Sb-129m,511291,3.0,28.0
1048,Sb-130,511300,1.0,26.0
1049,Sb-130m,511301,1.0,26.0
1050,Sb-131,511310,2.0,25.0
1051,Sb-131m,511311,2.0,0.0
1052,Sb-132,511320,1.0,26.0
1053,Sb-132m,511321,1.0,26.0
1054,Sb-133,511330,0.0,25.0
1055,Sb-134m,511341,0.0,27.0
1056,Sb-135,511350,0.0,29.0
1057,Te-108,521080,0.0,37.0
1058,Te-109,521090,0.0,34.0
1059,Te-110,521100,0.0,38.0
1060,Te-111,521110,0.0,38.0
1061,Te-112,521120,0.0,33.0
1062,Te-113,521130,0.0,29.0
1063,Te-114,521140,1.0,37.0
1064,Te-115,521150,1.0,37.0
1065,Te-115m,521151,1.0,37.0
1066,Te-116,521160,1.0,36.0
1067,Te-117,521170,1.0,37.0
1068,Te-117m,521171,1.0,0.0
1069,Te-118,521180,21.0,36.0
1070,Te-119,521190,21.0,36.0
1071,Te-119m,521191,21.0,36.0
1072,Te-120,521200,22.0,36.0
1073,Te-121,521210,22.0,36.0
1074,Te-121m,521211,22.0,36.0
1075,Te-122,521220,22.0,36.0
1076,Te-123,521230,22.0,36.0
1077,Te-123m,521231,22.0,36.0
1078,Te-124,521240,23.0,34.0
1079,Te-125,521250,23.0,36.0
1080,Te-125m,521251,23.0,35.0
1081,Te-126,521260,24.0,34.0
1082,Te-127,521270,25.0,32.0
1083,Te-127m,521271,25.0,32.0
1084,Te-128,521280,23.0,31.0
1085,Te-129,521290,26.0,32.0
1086,Te-129m,521291,26.0,32.0
1087,Te-130,521300,24.0,30.0
1088,Te-131,521310,1.0,31.0
1089,Te-131m,521311,27.0,31.0
1090,Te-132,521320,26.0,27.0
1091,Te-133,521330,1.0,28.0
1092,Te-133m,521331,2.0,29.0
1093,Te-134,521340,2.0,26.0
1094,Te-135,521350,1.0,30.0
1095,Te-136,521360,0.0,30.0
1096,Te-137,521370,0.0,30.0
1097,Te-138,521380,0.0,29.0
1098,I-111,531110,0.0,39.0
1099,I-112,531120,0.0,32.0
1100,I-113,531130,0.0,35.0
1101,I-114,531140,0.0,39.0
1102,I-114m,531141,0.0,34.0
1103,I-115,531150,0.0,35.0
1104,I-116,531160,0.0,38.0
1105,I-117,531170,0.0,37.0
1106,I-118,531180,1.0,37.0
1107,I-118m,531181,1.0,36.0
1108,I-119,531190,1.0,37.0
1109,I-120,531200,1.0,37.0
1110,I-120m,531201,1.0,37.0
1111,I-121,531210,1.0,36.0
1112,I-122,531220,1.0,36.0
1113,I-123,531230,20.0,36.0
1114,I-124,531240,20.0,36.0
1115,I-125,531250,21.0,36.0
1116,I-126,531260,22.0,36.0
1117,I-127,531270,22.0,36.0
1118,I-128,531280,23.0,35.0
1119,I-129,531290,23.0,35.0
1120,I-130,531300,24.0,34.0
1121,I-130m,531301,2.0,34.0
1122,I-131,531310,25.0,33.0
1123,I-132,531320,1.0,34.0
1124,I-132m,531321,2.0,32.0
1125,I-133,531330,27.0,32.0
1126,I-133m,531331,1.0,34.0
1127,I-134,531340,1.0,31.0
1128,I-134m,531341,2.0,31.0
1129,I-135,531350,2.0,30.0
1130,I-136,531360,1.0,33.0
1131,I-136m,531361,1.0,34.0
1132,I-137,531370,0.0,32.0
1133,I-138,531380,0.0,24.0
1134,I-139,531390,0.0,30.0
1135,Xe-112,541120,0.0,30.0
1136,Xe-113,541130,0.0,39.0
1137,Xe-114,541140,0.0,33.0
1138,Xe-115,541150,0.0,39.0
1139,Xe-116,541160,0.0,39.0
1140,Xe-117,541170,0.0,40.0
1141,Xe-118,541180,0.0,38.0
1142,Xe-119,541190,0.0,37.0
1143,Xe-120,541200,1.0,37.0
1144,Xe-121,541210,1.0,36.0
1145,Xe-122,541220,18.0,37.0
1146,Xe-123,541230,1.0,37.0
1147,Xe-124,541240,19.0,36.0
1148,Xe-125,541250,19.0,37.0
1149,Xe-125m,541251,1.0,37.0
1150,Xe-126,541260,20.0,36.0
1151,Xe-127,541270,20.0,36.0
1152,Xe-127m,541271,1.0,36.0
1153,Xe-128,541280,20.0,36.0
1154,Xe-129,541290,20.0,36.0
1155,Xe-129m,541291,20.0,36.0
1156,Xe-130,541300,21.0,34.0
1157,Xe-131,541310,21.0,34.0
1158,Xe-131m,541311,21.0,35.0
1159,Xe-132,541320,22.0,34.0
1160,Xe-133,541330,25.0,34.0
1161,Xe-133m,541331,24.0,33.0
1162,Xe-134,541340,24.0,32.0
1163,Xe-134m,541341,1.0,0.0
1164,Xe-135,541350,23.0,32.0
1165,Xe-135m,541351,2.0,32.0
1166,Xe-136,541360,21.0,30.0
1167,Xe-137,541370,1.0,33.0
1168,Xe-138,541380,1.0,33.0
1169,Xe-139,541390,1.0,32.0
1170,Xe-140,541400,0.0,31.0
1171,Xe-141,541410,0.0,29.0
1172,Xe-142,541420,0.0,28.0
1173,Cs-115,551150,0.0,31.0
1174,Cs-116m,551161,0.0,33.0
1175,Cs-117,551170,0.0,36.0
1176,Cs-117m,551171,0.0,33.0
1177,Cs-118,551180,0.0,39.0
1178,Cs-118m,551181,0.0,33.0
1179,Cs-119,551190,0.0,33.0
1180,Cs-119m,551191,0.0,32.0
1181,Cs-120,551200,0.0,39.0
1182,Cs-120m,551201,0.0,34.0
1183,Cs-121,551210,0.0,37.0
1184,Cs-121m,551211,0.0,37.0
1185,Cs-122,551220,1.0,39.0
1186,Cs-122m,551221,1.0,38.0
1187,Cs-122n,551222,1.0,0.0
1188,Cs-123,551230,1.0,36.0
1189,Cs-123m,551231,1.0,36.0
1190,Cs-124,551240,1.0,36.0
1191,Cs-124m,551241,1.0,37.0
1192,Cs-125,551250,1.0,36.0
1193,Cs-126,551260,1.0,37.0
1194,Cs-127,551270,1.0,36.0
1195,Cs-128,551280,1.0,36.0
1196,Cs-129,551290,18.0,36.0
1197,Cs-130,551300,1.0,36.0
1198,Cs-130m,551301,0.0,36.0
1199,Cs-131,551310,19.0,37.0
1200,Cs-132,551320,20.0,36.0
1201,Cs-133,551330,21.0,35.0
1202,Cs-134,551340,25.0,36.0
1203,Cs-134m,551341,1.0,35.0
1204,Cs-135,551350,26.0,36.0
1205,Cs-135m,551351,1.0,36.0
1206,Cs-136,551360,26.0,35.0
1207,Cs-136m,551361,2.0,36.0
1208,Cs-137,551370,26.0,34.0
1209,Cs-138,551380,1.0,36.0
1210,Cs-138m,551381,2.0,37.0
1211,Cs-139,551390,1.0,37.0
1212,Cs-140,551400,1.0,36.0
1213,Cs-141,551410,0.0,32.0
1214,Cs-142,551420,0.0,32.0
1215,Cs-143,551430,0.0,30.0
1216,Cs-144m,551441,0.0,30.0
1217,Ba-116,561160,0.0,31.0
1218,Ba-117,561170,0.0,31.0
1219,Ba-118,561180,0.0,31.0
1220,Ba-119,561190,0.0,31.0
1221,Ba-120,561200,0.0,38.0
1222,Ba-121,561210,0.0,38.0
1223,Ba-122,561220,0.0,37.0
1224,Ba-123,561230,0.0,38.0
1225,Ba-124,561240,1.0,36.0
1226,Ba-125,561250,1.0,37.0
1227,Ba-126,561260,1.0,35.0
1228,Ba-127,561270,1.0,37.0
1229,Ba-127m,561271,0.0,37.0
1230,Ba-128,561280,19.0,36.0
1231,Ba-129,561290,19.0,36.0
1232,Ba-129m,561291,1.0,36.0
1233,Ba-130,561300,20.0,36.0
1234,Ba-131,561310,20.0,36.0
1235,Ba-131m,561311,1.0,36.0
1236,Ba-132,561320,20.0,36.0
1237,Ba-133,561330,20.0,36.0
1238,Ba-133m,561331,20.0,36.0
1239,Ba-134,561340,21.0,36.0
1240,Ba-135,561350,24.0,36.0
1241,Ba-135m,561351,24.0,36.0
1242,Ba-136,561360,25.0,34.0
1243,Ba-136m,561361,1.0,0.0
1244,Ba-137,561370,25.0,34.0
1245,Ba-137m,561371,1.0,35.0
1246,Ba-138,561380,22.0,36.0
1247,Ba-139,561390,21.0,35.0
1248,Ba-140,561400,18.0,36.0
1249,Ba-141,561410,1.0,36.0
1250,Ba-142,561420,1.0,33.0
1251,Ba-143,561430,1.0,32.0
1252,Ba-144,561440,0.0,29.0
1253,Ba-145,561450,0.0,29.0
1254,Ba-146,561460,0.0,28.0
1255,La-119,571190,0.0,30.0
1256,La-120,571200,0.0,31.0
1257,La-121,571210,0.0,30.0
1258,La-122,571220,0.0,31.0
1259,La-123,571230,0.0,29.0
1260,La-124,571240,0.0,39.0
1261,La-124m,571241,0.0,32.0
1262,La-125,571250,0.0,37.0
1263,La-126,571260,0.0,36.0
1264,La-126m,571261,0.0,38.0
1265,La-127,571270,0.0,36.0
1266,La-127m,571271,0.0,36.0
1267,La-128,571280,1.0,37.0
1268,La-128m,571281,0.0,34.0
1269,La-129,571290,1.0,35.0
1270,La-129m,571291,1.0,0.0
1271,La-130,571300,1.0,37.0
1272,La-131,571310,1.0,36.0
1273,La-132,571320,1.0,37.0
1274,La-132m,571321,2.0,36.0
1275,La-133,571330,1.0,37.0
1276,La-134,571340,1.0,36.0
1277,La-135,571350,20.0,37.0
1278,La-136,571360,1.0,36.0
1279,La-136m,571361,1.0,0.0
1280,La-137,571370,23.0,37.0
1281,La-138,571380,24.0,35.0
1282,La-139,571390,21.0,36.0
1283,La-140,571400,20.0,37.0
1284,La-141,571410,18.0,38.0
1285,La-142,571420,1.0,38.0
1286,La-143,571430,1.0,37.0
1287,La-144,571440,1.0,35.0
1288,La-145,571450,0.0,32.0
1289,La-146,571460,0.0,31.0
1290,La-146m,571461,0.0,31.0
1291,La-147,571470,0.0,30.0
1292,La-148,571480,0.0,30.0
1293,La-149,571490,0.0,29.0
1294,Ce-121,581210,0.0,30.0
1295,Ce-122,581220,0.0,30.0
1296,Ce-123,581230,0.0,30.0
1297,Ce-124,581240,0.0,30.0
1298,Ce-125,581250,0.0,38.0
1299,Ce-126,581260,0.0,36.0
1300,Ce-127,581270,0.0,36.0
1301,Ce-127m,581271,0.0,36.0
1302,Ce-128,581280,0.0,35.0
1303,Ce-129,581290,0.0,37.0
1304,Ce-130,581300,1.0,35.0
1305,Ce-131,581310,1.0,36.0
1306,Ce-131m,581311,1.0,36.0
1307,Ce-132,581320,1.0,36.0
1308,Ce-133,581330,1.0,37.0
1309,Ce-133m,581331,1.0,37.0
1310,Ce-134,581340,21.0,36.0
1311,Ce-135,581350,21.0,36.0
1312,Ce-135m,581351,1.0,36.0
1313,Ce-136,581360,21.0,36.0
1314,Ce-137,581370,1.0,36.0
1315,Ce-137m,581371,22.0,36.0
1316,Ce-138,581380,22.0,36.0
1317,Ce-139,581390,22.0,36.0
1318,Ce-139m,581391,1.0,36.0
1319,Ce-140,581400,19.0,36.0
1320,Ce-141,581410,19.0,36.0
1321,Ce-142,581420,16.0,37.0
1322,Ce-143,581430,17.0,38.0
1323,Ce-144,581440,18.0,36.0
1324,Ce-145,581450,1.0,34.0
1325,Ce-146,581460,1.0,32.0
1326,Ce-147,581470,1.0,31.0
1327,Ce-148,581480,1.0,30.0
1328,Ce-149,581490,1.0,30.0
1329,Ce-150,581500,0.0,28.0
1330,Ce-151,581510,0.0,24.0
1331,Ce-152,581520,0.0,27.0
1332,Pr-124,591240,0.0,29.0
1333,Pr-125,591250,0.0,28.0
1334,Pr-126,591260,0.0,30.0
1335,Pr-127,591270,0.0,28.0
1336,Pr-128,591280,0.0,29.0
1337,Pr-129,591290,0.0,29.0
1338,Pr-130,591300,0.0,30.0
1339,Pr-131,591310,0.0,37.0
1340,Pr-131m,591311,0.0,37.0
1341,Pr-132,591320,0.0,37.0
1342,Pr-133,591330,0.0,35.0
1343,Pr-133m,591331,0.0,35.0
1344,Pr-134,591340,1.0,37.0
1345,Pr-134m,591341,1.0,37.0
1346,Pr-135,591350,1.0,36.0
1347,Pr-136,591360,1.0,37.0
1348,Pr-137,591370,1.0,36.0
1349,Pr-138,591380,1.0,36.0
1350,Pr-138m,591381,1.0,37.0
1351,Pr-139,591390,1.0,36.0
1352,Pr-140,591400,1.0,36.0
1353,Pr-141,591410,18.0,36.0
1354,Pr-142,591420,19.0,37.0
1355,Pr-142m,591421,1.0,37.0
1356,Pr-143,591430,19.0,38.0
1357,Pr-144,591440,1.0,39.0
1358,Pr-144m,591441,2.0,39.0
1359,Pr-145,591450,1.0,38.0
1360,Pr-146,591460,1.0,38.0
1361,Pr-147,591470,1.0,36.0
1362,Pr-148,591480,1.0,36.0
1363,Pr-148m,591481,1.0,36.0
1364,Pr-149,591490,1.0,31.0
1365,Pr-150,591500,1.0,30.0
1366,Pr-151,591510,0.0,29.0
1367,Pr-152,591520,0.0,21.0
1368,Pr-153,591530,0.0,20.0
1369,Pr-154,591540,0.0,20.0
1370,Pr-155,591550,0.0,20.0
1371,Nd-126,601260,0.0,28.0
1372,Nd-127,601270,0.0,28.0
1373,Nd-128,601280,0.0,28.0
1374,Nd-129,601290,0.0,28.0
1375,Nd-130,601300,0.0,34.0
1376,Nd-131,601310,0.0,36.0
1377,Nd-132,601320,0.0,35.0
1378,Nd-133,601330,0.0,37.0
1379,Nd-133m,601331,0.0,37.0
1380,Nd-134,601340,0.0,36.0
1381,Nd-135,601350,0.0,37.0
1382,Nd-136,601360,1.0,35.0
1383,Nd-137,601370,1.0,36.0
1384,Nd-137m,601371,1.0,37.0
1385,Nd-138,601380,1.0,36.0
1386,Nd-139,601390,1.0,37.0
1387,Nd-139m,601391,2.0,36.0
1388,Nd-140,601400,20.0,36.0
1389,Nd-141,601410,21.0,36.0
1390,Nd-141m,601411,2.0,36.0
1391,Nd-142,601420,18.0,36.0
1392,Nd-143,601430,19.0,36.0
1393,Nd-144,601440,18.0,37.0
1394,Nd-145,601450,18.0,37.0
1395,Nd-146,601460,17.0,37.0
1396,Nd-147,601470,18.0,39.0
1397,Nd-148,601480,17.0,35.0
1398,Nd-149,601490,18.0,34.0
1399,Nd-150,601500,17.0,32.0
1400,Nd-151,601510,1.0,30.0
1401,Nd-152,601520,1.0,28.0
1402,Nd-153,601530,1.0,28.0
1403,Nd-154,601540,0.0,27.0
1404,Nd-155,601550,0.0,20.0
1405,Nd-156,601560,0.0,25.0
1406,Nd-157,601570,0.0,20.0
1407,Pm-127,611270,0.0,28.0
1408,Pm-128,611280,0.0,28.0
1409,Pm-129,611290,0.0,28.0
1410,Pm-130,611300,0.0,28.0
1411,Pm-131,611310,0.0,29.0
1412,Pm-132,611320,0.0,29.0
1413,Pm-133,611330,0.0,37.0
1414,Pm-133m,611331,0.0,37.0
1415,Pm-134,611340,0.0,34.0
1416,Pm-134m,611341,0.0,32.0
1417,Pm-135,611350,0.0,31.0
1418,Pm-135m,611351,0.0,32.0
1419,Pm-136,611360,0.0,37.0
1420,Pm-136m,611361,0.0,37.0
1421,Pm-137,611370,0.0,37.0
1422,Pm-138,611380,0.0,37.0
1423,Pm-138m,611381,0.0,37.0
1424,Pm-139,611390,0.0,35.0
1425,Pm-140,611400,1.0,37.0
1426,Pm-140m,611401,1.0,32.0
1427,Pm-141,611410,1.0,36.0
1428,Pm-142,611420,1.0,36.0
1429,Pm-143,611430,18.0,36.0
1430,Pm-144,611440,18.0,37.0
1431,Pm-145,611450,18.0,38.0
1432,Pm-146,611460,19.0,38.0
1433,Pm-147,611470,19.0,38.0
1434,Pm-148,611480,19.0,39.0
1435,Pm-148m,611481,19.0,39.0
1436,Pm-149,611490,19.0,38.0
1437,Pm-150,611500,19.0,36.0
1438,Pm-151,611510,20.0,35.0
1439,Pm-152,611520,1.0,31.0
1440,Pm-152m,611521,1.0,31.0
1441,Pm-152n,611522,1.0,31.0
1442,Pm-153,611530,1.0,30.0
1443,Pm-154,611540,1.0,30.0
1444,Pm-154m,611541,1.0,30.0
1445,Pm-155,611550,1.0,29.0
1446,Pm-156,611560,1.0,30.0
1447,Pm-156m,611561,0.0,30.0
1448,Pm-157,611570,0.0,21.0
1449,Pm-158,611580,0.0,21.0
1450,Pm-159,611590,0.0,21.0
1451,Pm-160,611600,0.0,21.0
1452,Sm-130,621300,0.0,35.0
1453,Sm-131,621310,0.0,28.0
1454,Sm-132,621320,0.0,28.0
1455,Sm-133,621330,0.0,32.0
1456,Sm-133m,621331,0.0,32.0
