,Isotope,Parent KZA,Number of Reactions (FENDL2),Number of Reactions (FENDL3)
176,Ca-050,200500,0.0,21.0
177,Ca-051,200510,0.0,23.0
178,Ca-052,200520,0.0,21.0
179,Sc-040,210400,4.0,0.0
180,Sc-041,210410,1.0,0.0
181,Sc-042,210420,1.0,0.0
182,Sc-042m,210421,1.0,37.0
183,Sc-043,210430,1.0,36.0
184,Sc-044,210440,1.0,35.0
185,Sc-044m,210441,17.0,36.0
186,Sc-045,210450,18.0,32.0
187,Sc-045m,210451,1.0,0.0
188,Sc-046,210460,18.0,31.0
189,Sc-046m,210461,1.0,32.0
190,Sc-047,210470,17.0,27.0
191,Sc-048,210480,18.0,28.0
192,Sc-049,210490,1.0,25.0
193,Sc-050,210500,1.0,27.0
194,Sc-050m,210501,2.0,0.0
195,Sc-051,210510,0.0,24.0
196,Sc-052,210520,0.0,25.0
197,Sc-053,210530,0.0,17.0
198,Ti-042,220420,1.0,0.0
199,Ti-043,220430,1.0,0.0
200,Ti-044,220440,16.0,33.0
201,Ti-045,220450,16.0,34.0
202,Ti-046,220460,17.0,29.0
203,Ti-047,220470,16.0,33.0
204,Ti-048,220480,15.0,25.0
205,Ti-048m,220481,0.0,35.0
206,Ti-049,220490,14.0,26.0
207,Ti-050,220500,16.0,24.0
208,Ti-051,220510,1.0,27.0
209,Ti-052,220520,1.0,26.0
210,Ti-053,220530,1.0,28.0
211,Ti-054,220540,0.0,21.0
212,Ti-055,220550,0.0,27.0
213,V-044,230440,3.0,0.0
214,V-045,230450,1.0,0.0
215,V-046,230460,1.0,0.0
216,V-047,230470,1.0,34.0
217,V-048,230480,17.0,34.0
218,V-049,230490,16.0,31.0
219,V-050,230500,16.0,32.0
220,V-051,230510,15.0,29.0
221,V-052,230520,1.0,32.0
222,V-053,230530,1.0,30.0
223,V-054,230540,1.0,30.0
224,V-055,230550,0.0,29.0
225,Cr-046,240460,1.0,0.0
226,Cr-047,240470,1.0,0.0
227,Cr-048,240480,14.0,32.0
228,Cr-049,240490,1.0,34.0
229,Cr-050,240500,14.0,29.0
230,Cr-051,240510,14.0,32.0
231,Cr-052,240520,14.0,27.0
232,Cr-053,240530,14.0,30.0
233,Cr-054,240540,15.0,28.0
234,Cr-055,240550,1.0,30.0
235,Cr-056,240560,1.0,27.0
236,Cr-057,240570,1.0,28.0
237,Cr-058,240580,1.0,25.0
238,Cr-059,240590,0.0,27.0
239,Mn-048,250480,1.0,0.0
240,Mn-049,250490,1.0,0.0
241,Mn-050,250500,1.0,0.0
242,Mn-050m,250501,1.0,33.0
243,Mn-051,250510,1.0,32.0
244,Mn-052,250520,15.0,33.0
245,Mn-052m,250521,2.0,33.0
246,Mn-053,250530,15.0,30.0
247,Mn-054,250540,15.0,34.0
248,Mn-055,250550,16.0,32.0
249,Mn-056,250560,1.0,32.0
250,Mn-057,250570,1.0,31.0
251,Mn-058,250580,1.0,31.0
252,Mn-058m,250581,1.0,31.0
253,Mn-059,250590,1.0,29.0
254,Mn-060,250600,1.0,0.0
255,Mn-060m,250601,0.0,29.0
256,Fe-050,260500,1.0,0.0
257,Fe-051,260510,1.0,0.0
258,Fe-052,260520,1.0,31.0
259,Fe-052m,260521,2.0,35.0
260,Fe-053,260530,1.0,34.0
261,Fe-053m,260531,1.0,34.0
262,Fe-054,260540,16.0,30.0
263,Fe-055,260550,14.0,33.0
264,Fe-056,260560,12.0,29.0
265,Fe-057,260570,15.0,33.0
266,Fe-058,260580,16.0,29.0
267,Fe-059,260590,17.0,30.0
268,Fe-060,260600,17.0,27.0
269,Fe-061,260610,1.0,29.0
270,Fe-062,260620,1.0,25.0
271,Fe-063,260630,1.0,26.0
272,Fe-064,260640,1.0,22.0
273,Fe-065,260650,1.0,0.0
274,Fe-065m,260651,0.0,25.0
275,Co-054,270540,1.0,0.0
276,Co-054m,270541,1.0,32.0
277,Co-055,270550,17.0,32.0
278,Co-056,270560,15.0,33.0
279,Co-057,270570,16.0,34.0
280,Co-058,270580,16.0,34.0
281,Co-058m,270581,16.0,34.0
282,Co-059,270590,19.0,32.0
283,Co-060,270600,20.0,34.0
284,Co-060m,270601,2.0,34.0
285,Co-061,270610,1.0,31.0
286,Co-062,270620,1.0,31.0
287,Co-062m,270621,2.0,31.0
288,Co-063,270630,1.0,28.0
289,Co-064,270640,1.0,0.0
290,Co-065,270650,1.0,25.0
291,Co-066,270660,1.0,0.0
292,Co-068m,270681,0.0,25.0
293,Ni-055,280550,1.0,0.0
294,Ni-056,280560,17.0,31.0
295,Ni-057,280570,15.0,33.0
296,Ni-058,280580,16.0,31.0
297,Ni-059,280590,15.0,33.0
298,Ni-060,280600,16.0,32.0
299,Ni-061,280610,16.0,34.0
300,Ni-062,280620,17.0,30.0
301,Ni-063,280630,17.0,33.0
302,Ni-064,280640,17.0,29.0
303,Ni-065,280650,1.0,28.0
304,Ni-066,280660,16.0,25.0
305,Ni-067,280670,1.0,23.0
306,Ni-068,280680,1.0,22.0
307,Ni-069,280690,1.0,24.0
308,Ni-070,280700,1.0,22.0
309,Ni-071,280710,1.0,24.0
310,Ni-071m,280711,0.0,24.0
311,Ni-072,280720,0.0,23.0
312,Cu-056,290560,1.0,0.0
313,Cu-057,290570,1.0,0.0
314,Cu-058,290580,1.0,32.0
315,Cu-059,290590,1.0,31.0
316,Cu-060,290600,1.0,34.0
317,Cu-061,290610,1.0,34.0
318,Cu-062,290620,1.0,34.0
319,Cu-063,290630,17.0,34.0
320,Cu-064,290640,19.0,35.0
321,Cu-065,290650,17.0,32.0
322,Cu-066,290660,1.0,34.0
323,Cu-067,290670,18.0,31.0
324,Cu-068,290680,1.0,29.0
325,Cu-068m,290681,2.0,30.0
326,Cu-069,290690,1.0,27.0
327,Cu-070,290700,1.0,27.0
328,Cu-070m,290701,1.0,27.0
329,Cu-070n,290702,0.0,27.0
330,Cu-071,290710,1.0,25.0
331,Cu-072,290720,1.0,25.0
332,Cu-073,290730,0.0,24.0
333,Cu-074,290740,0.0,17.0
334,Cu-075,290750,0.0,24.0
335,Cu-076m,290761,0.0,25.0
336,Zn-058,300580,1.0,0.0
337,Zn-059,300590,1.0,0.0
338,Zn-060,300600,1.0,31.0
339,Zn-061,300610,1.0,34.0
340,Zn-062,300620,1.0,34.0
341,Zn-063,300630,1.0,35.0
342,Zn-064,300640,14.0,34.0
343,Zn-065,300650,15.0,35.0
344,Zn-066,300660,15.0,35.0
345,Zn-067,300670,16.0,35.0
346,Zn-068,300680,18.0,34.0
347,Zn-069,300690,1.0,35.0
348,Zn-069m,300691,19.0,35.0
349,Zn-070,300700,19.0,31.0
350,Zn-071,300710,1.0,30.0
351,Zn-071m,300711,2.0,30.0
352,Zn-072,300720,20.0,26.0
353,Zn-073,300730,1.0,26.0
354,Zn-073m,300731,2.0,27.0
355,Zn-074,300740,1.0,24.0
356,Zn-075,300750,1.0,26.0
357,Zn-076,300760,1.0,22.0
358,Zn-077,300770,0.0,24.0
359,Zn-077m,300771,0.0,25.0
360,Zn-078,300780,0.0,23.0
361,Ga-063,310630,0.0,32.0
362,Ga-064,310640,1.0,36.0
363,Ga-065,310650,1.0,36.0
364,Ga-066,310660,1.0,36.0
365,Ga-067,310670,15.0,34.0
366,Ga-068,310680,1.0,35.0
367,Ga-069,310690,18.0,35.0
368,Ga-070,310700,2.0,35.0
369,Ga-071,310710,20.0,34.0
370,Ga-072,310720,21.0,34.0
371,Ga-073,310730,2.0,32.0
372,Ga-074,310740,1.0,30.0
373,Ga-074m,310741,1.0,30.0
374,Ga-075,310750,2.0,27.0
375,Ga-076,310760,1.0,27.0
376,Ga-077,310770,1.0,25.0
377,Ga-078,310780,0.0,24.0
378,Ga-079,310790,0.0,24.0
379,Ga-080,310800,0.0,75.0
380,Ga-081,310810,0.0,24.0
381,Ge-064,320640,0.0,32.0
382,Ge-065,320650,0.0,35.0
383,Ge-066,320660,1.0,32.0
384,Ge-067,320670,1.0,37.0
385,Ge-068,320680,15.0,35.0
386,Ge-069,320690,14.0,36.0
387,Ge-070,320700,15.0,34.0
388,Ge-071,320710,17.0,36.0
389,Ge-072,320720,18.0,35.0
390,Ge-073,320730,19.0,36.0
391,Ge-073m,320731,1.0,0.0
392,Ge-074,320740,20.0,31.0
393,Ge-075,320750,1.0,34.0
394,Ge-075m,320751,2.0,34.0
395,Ge-076,320760,19.0,29.0
396,Ge-077,320770,21.0,28.0
397,Ge-077m,320771,2.0,28.0
398,Ge-078,320780,1.0,24.0
399,Ge-079,320790,1.0,26.0
400,Ge-079m,320791,2.0,26.0
401,Ge-080,320800,1.0,24.0
402,Ge-081,320810,1.0,25.0
403,Ge-081m,320811,1.0,26.0
404,Ge-082,320820,0.0,23.0
405,Ge-083,320830,0.0,25.0
406,As-067,330670,0.0,32.0
407,As-068,330680,1.0,38.0
408,As-069,330690,1.0,36.0
409,As-070,330700,1.0,38.0
410,As-071,330710,15.0,36.0
411,As-072,330720,15.0,36.0
412,As-073,330730,17.0,35.0
413,As-074,330740,18.0,36.0
414,As-075,330750,19.0,35.0
415,As-076,330760,20.0,35.0
416,As-077,330770,21.0,32.0
417,As-078,330780,1.0,33.0
418,As-079,330790,2.0,30.0
419,As-080,330800,1.0,28.0
420,As-081,330810,2.0,26.0
421,As-082,330820,1.0,27.0
422,As-082m,330821,1.0,27.0
423,As-083,330830,0.0,25.0
424,As-084,330840,0.0,25.0
425,As-085,330850,0.0,19.0
426,Se-068,340680,0.0,30.0
427,Se-069,340690,0.0,33.0
428,Se-070,340700,1.0,32.0
429,Se-071,340710,1.0,36.0
430,Se-072,340720,15.0,35.0
431,Se-073,340730,15.0,36.0
432,Se-073m,340731,2.0,36.0
433,Se-074,340740,17.0,34.0
434,Se-075,340750,15.0,35.0
435,Se-076,340760,19.0,34.0
436,Se-077,340770,18.0,35.0
437,Se-077m,340771,1.0,35.0
438,Se-078,340780,19.0,33.0
439,Se-079,340790,20.0,35.0
440,Se-079m,340791,1.0,35.0
441,Se-080,340800,19.0,31.0
442,Se-081,340810,1.0,30.0
443,Se-081m,340811,2.0,31.0
444,Se-082,340820,21.0,26.0
445,Se-083,340830,1.0,27.0
446,Se-083m,340831,1.0,27.0
447,Se-084,340840,1.0,24.0
448,Se-085,340850,1.0,18.0
449,Se-086,340860,0.0,25.0
450,Se-087,340870,0.0,18.0
451,Se-088,340880,0.0,25.0
452,Br-070m,350701,0.0,31.0
453,Br-071,350710,0.0,36.0
